"THANK YOU, AND I THINK LET'S START.(laughter)PRESIDENT BACOW, FELLOWS OF THE CORPORATION, MEMBERS OF THE BOARD OF OVERSEERS,MEMBERS OF THE ALUMNI BOARD, MEMBERS OF THE FACULTY,",Classification,Confidence
"OF PEOPLE DARED TO TAKE TO THE STREETS.(speaking in German)THE PEOPLE DEMONSTRATED AND BROUGHT DOWN THE WALL.(speaking in German)SOMETHING, WHICH MANY PEOPLE INCLUDING MYSELF WOULD NOT HAVE",Negative,0.869
"BELIEVED POSSIBLE BECAME REALITY.(speaking in German)WHERE THERE WAS ONCE ONLY A DARK WALL, A DOOR SUDDENLY OPENED.(speaking in German)FOR ME, TOO, THE MOMENT HAD COME TO WALK THROUGH THAT DOOR.",Negative,0.688
"(speaking in German)I NO LONGER HAD TO TURN AWAY FROM FREEDOM AT THE LAST MINUTE.(speaking in German)I WAS ABLE TO CROSS THIS BORDER AND VENTURE OUT INTO THE GREAT,",Positive,0.957
"WIDE OPEN.(speaking in German)DURING THESE MONTHS, 30 YEARS AGO, I EXPERIENCED FIRST-HANDTHAT NOTHING HAS TO STAY THE WAY IT IS.(speaking in German)THIS EXPERIENCE, DEAR GRADUATES, IS THE FIRST THOUGHT I WANT TO",Positive,0.74
SHARE WITH YOU TODAY FOR YOUR FUTURE.(speaking in German)ANYTHING THAT SEEMS TO BE SET IN STONE OR INALTERABLE CAN INDEEDCHANGE.[APPLAUSE](speaking in German),Positive,0.701
">> IN MATTERS BOTH LARGE AND SMALL,(speaking in German)IT HOLDS TRUE THAT EVERY CHANGE BEGINS IN THE MIND.(speaking in German)MY PARENTS' GENERATION DISCOVERED THIS IN A MOST",Positive,0.876
"PAINFUL WAY.(speaking in German)MY FATHER AND MOTHER WERE BORN IN 1926 AND 1928.(speaking in German)WHEN THEY WERE AS OLD AS MOST OF YOU HERE TODAY, THE BETRAYAL OF",Negative,0.96
"ALL CIVILIZED VALUES THAT WORLD WAR II HAD JUST ENDED,(speaking in German)MY COUNTRY, GERMANY, HAD BROUGHT UNIMAGINABLE SUFFERING ON EUROPEAND THE WORLD.",Negative,0.692
"(speaking in German)THE VICTORS AND THE DEFEATED COULD EASILY HAVE REMAINEDIRRECONCILABLE FOR MANY YEARS.(speaking in German)BUT INSTEAD, EUROPE OVERCAME CENTURIES-OLD CONFLICTS.",Neutral,0.633
"(speaking in German)A PEACEFUL ORDER BASED ON COMMON VALUES RATHER THAN SUPPOSED NATIONAL STRENGTH EMERGED.(speaking in German)DESPITE ALL THE DISCUSSIONS AND TEMPORARY SETBACKS, I FIRMLY",Positive,0.798
BELIEVE THAT WE EUROPEANS HAVE UNITED FOR THE BETTER.[APPLAUSE](speaking in German)>> AND THE RELATIONSHIP BETWEEN GERMANS AND AMERICANS TOODEMONSTRATES HOW FORMER WARTIME ENEMIES CAN BECOME FRIENDS.,Negative,0.434
[APPLAUSE](speaking in German)>> IT WAS GEORGE MARSHALL WHO GAVE A CRUCIAL CONTRIBUTION TOTHIS FOR THE PLAN HE ANNOUNCED AT THE COMMENCEMENT CEREMONIES,Negative,0.913
"IN 1947 IN THIS VERY PLACE.[APPLAUSE](speaking in German)>>THE TRANSATLANTIC PARTNERSHIP BASED ON VALUES, SUCH ASDEMOCRACY AND HUMAN RIGHTS HAS GIVEN US AN ERA OF PEACE AND",Positive,0.981
"PROSPERITY, OF BENEFITS TO ALL SIDES, WHICH HAS LASTED FOR MORETHAN 70 YEARS NOW.[APPLAUSE](speaking in German)IT WILL NOT BE LONG NOW BEFORE THE POLITICIANS OF MY",Positive,0.656
"GENERATION ARE NO LONGER THE SUBJECT OF THE EXERCISINGLEADERSHIP PROGRAM AND AT MOST WILL BE DEALT WITH IN LEADERSHIPIN HISTORY.(speaking in German)HARVARD CLASS OF 2019,",Neutral,0.631
(speaking in German)YOUR GENERATION WILL BE FACED WITH THE CHALLENGES OF THE 21stCENTURY IN THE COMING DECADES.(speaking in German)YOU ARE AMONG THOSE WHO WILL LEAD US INTO THE FUTURE.,Neutral,0.685
(speaking in German)PROTECTIONISM AND TRADE CONFLICTS JEOPARDIZE FREE INTERNATIONAL TRADE AND THUS THE VERYFOUNDATIONS OF OUR PROSPERITY.[APPLAUSE](speaking in German),Negative,0.427
THE DIGITAL TRANSFORMATION AFFECTS ALL FACETS OF OUR LIVES.(speaking in German)WARS AND TERRORISM LEAD TO DISPLACEMENT AND FORCEDMIGRATION.(speaking in German),Negative,0.524
CLIMATE CHANGE POSES A THREAT TO OUR PLANET'S NATURAL RESOURCES.[APPLAUSE](speaking in German)IT AND THE RESULTING CRISIS ARE CAUSED BY HUMANS.(speaking in German),Negative,0.562
"THEREFORE, WE CAN AND MUST DO EVERYTHING HUMANLY POSSIBLE TOTRULY MASTER THIS CHALLENGE TO HUMANKIND.[APPLAUSE](speaking in German)IT'S STILL POSSIBLE.",Positive,0.703
"(speaking in German)HOWEVER EACH AND EVERY ONE OF US MUST PLAY OUR PART.(speaking in German)AND I SAY THIS WITH A MEASURE OF SELF-CRITICISM, GET BETTER.",Negative,0.817
"(speaking in German)I WILL THEREFORE DO EVERYTHING IN MY POWER TO ENSURE THATGERMANY, MY COUNTRY, WILL ACHIEVE CLIMATE NEUTRALITY BY2050.[APPLAUSE](speaking in German)",Negative,0.474
"CHANGES FOR THE BETTER ARE POSSIBLE IF WE TACKLE THEMTOGETHER.(speaking in German)IF WE WERE TO GO IT ALONE, WE COULD NOT ACHIEVE MUCH.(speaking in German)",Negative,0.521
"THE SECOND THOUGHT I WANT TO SHARE WITH YOU IS THEREFORE(speaking in German)MORE THAN EVER, OUR WAY OF THINKING AND OUR ACTIONS HAVE TO BEMULTILATERAL, RATHER THAN UNILATERAL.",Neutral,0.506
"[APPLAUSE](speaking in German)GLOBAL, RATHER THAN NATIONAL.[APPLAUSE](speaking in German)OUTWARD LOOKING, RATHER THAN ISOLATIONIST.[APPLAUSE](speaking in German)",Negative,0.767
"IN SHORT, WE HAVE TO WORK TOGETHER, RATHER THAN ALONE.[APPLAUSE](speaking in German)YOU, DEAR GRADUATES, WILL HAVE QUITE DIFFERENT OPPORTUNITIES TODO THIS IN THE FUTURE THAN MY GENERATION DID.",Negative,0.761
"(speaking in German)AFTER ALL, YOUR SMART PHONE PROBABLY HAS CONSIDERABLY MOREPROCESSING POWER THAN THE COPY OF AN I.B.M. MAINFRAME COMPUTERMANUFACTURED IN THE SOVIET UNION, WHICH I WAS ALLOWED TO",Positive,0.841
"USE FOR MY DISSERTATION IN EAST GERMANY IN 1986.[LAUGHTER, APPLAUSE](speaking in German)TODAY, WE USE ARTIFICIAL INTELLIGENCE.FOR EXAMPLE, TO SEARCH THROUGH MILLIONS OF IMAGES",Negative,0.766
"FOR SYMPTOMS OF DISEASES.(speaking in German)IN ORDER, AMONG OTHER THINGS, TO BETTER DIAGNOSE CANCER.(speaking in German)IN FUTURE, EMPATHETIC ROBOTS COULD HELP DOCTORS AND NURSES TO FOCUS ON",Negative,0.895
"THE INDIVIDUAL NEEDS OF PATIENTS.(speaking in German)WE CANNOT PREDICT TODAY WHICH APPLICATIONS WILL BE POSSIBLE.(speaking in German)HOWEVER, THE OPPORTUNITIES IT BRINGS ARE TRULY BREATH TAKING.",Positive,0.867
"(speaking in German)CLASS OF 2019, HOW WE USE THESE OPPORTUNITIES WILL BE LARGELY UPTO YOU AS GRADUATES.(speaking in German)YOU ARE THE ONES WHO WILL BE INVOLVED IN DECIDING HOW OUR",Negative,0.948
"APPROACH TO HOW WE WORK, COMMUNICATE, GET ABOUT, INDEEDOUR ENTIRE WAY OF LIFE WILL DEVELOP.(speaking in German)AS FEDERAL CHANCELLOR I OFTEN HAVE TO ASK MYSELF, AM I DOING THE RIGHT",Negative,0.714
"THING?(speaking in German)AM I DOING SOMETHING BECAUSE IT IS RIGHT OR SIMPLY BECAUSE IT ISPOSSIBLE?(speaking in German)THAT IS SOMETHING YOU, TOO, NEED TO KEEP ASKING YOURSELVES.",Negative,0.717
(speaking in German)AND THAT IS THE THIRD THOUGHT I WISH TO SHARE WITH YOU TODAY.(speaking in German)ARE WE LAYING DOWN THE RULES FOR TECHNOLOGY?OR IS TECHNOLOGY DICTATING HOW WE INTERACT?,Negative,0.733
"[APPLAUSE](speaking in German)DO WE PRIORITIZE PEOPLE AS INDIVIDUALS WITH A HUMAN DIGNITY AND ALL THEIR MANY FACETS?(speaking in German)OR DO WE SEE IN THEM MERELY CONSUMERS, DATA SOURCES, OBJECTS",Negative,0.933
OF SURVEILLANCE?(speaking in German)THESE ARE DIFFICULT QUESTIONS.(speaking in German)I HAVE LEARNED THAT WE CAN FIND GOOD ANSWERS EVEN TO DIFFICULTQUESTIONS IF WE ALWAYS TRY TO VIEW THE WORLD THROUGH THE EYES,Positive,0.914
"OF OTHERS.(speaking in German)[APPLAUSE](speaking in German)IF WE RESPECT OTHER PEOPLE'S HISTORY, TRADITIONS, RELIGION,AND IDENTITY.[APPLAUSE](speaking in German)",Negative,0.898
"IF WE HOLD FAST TO OUR INALIENABLE VALUES AND ACT INACCORDANCE WITH THEM.(speaking in German)AND IF WE DON'T ALWAYS ACT ON OUR FIRST IMPULSES, EVEN WHEN",Negative,0.89
"THERE IS PRESSURE TO MAKE A SNAP DECISION.[APPLAUSE](speaking in German)BUT INSTEAD TAKE A MOMENT TO STOP,BE STILL,THINK,PAUSE.[APPLAUSE](speaking in German)",Negative,0.891
"GRANTED THAT CERTAINLY TAKES COURAGE.(speaking in German)ABOVE ALL, IT CALLS FOR TRUTHFULNESS IN OUR ATTITUDETOWARDS OTHERS.(speaking in German)AND PERHAPS MOST IMPORTANTLY, IT CALLS FOR US TO BE HONEST WITH",Negative,0.688
"OURSELVES.[APPLAUSE](speaking in German)WHAT BETTER PLACE TO BEGIN TO DO SO THAN HERE, IN THIS PLACE,WHERE SO MANY YOUNG PEOPLE FROM ALL OVER THE WORLD COME TO",Positive,0.943
"LEARN, RESEARCH, AND DISCUSS THE ISSUES OF OUR TIME UNDER THEMAXIM OF TRUTH.(speaking in German)THAT REQUIRES US NOT TO DESCRIBE LIES AS TRUTHS, AND TRUTHS AS",Positive,0.888
"LIES.[APPLAUSE][APPLAUSE](speaking in German)>> IT REQUIRES US NOT TO ACCEPT SHORTCOMINGS AS OUR NORMALITY.(speaking in German)YET WHAT, DEAR GRADUATES, COULD STOP YOU, WHAT COULD STOP US,",Negative,0.924
"FROM DOING THAT?(speaking in German)ONCE AGAIN THE ANSWER IS WALLS.(speaking in German)WALLS IN PEOPLE'S MINDS, WALLS OF IGNORANCE AND NARROW-MINDEDNESS.",Neutral,0.391
"(speaking in German)THEY EXIST BETWEEN FAMILY MEMBERS,(speaking in German)AS WELL AS BETWEEN GROUPS WITHIN THE SOCIETY, BETWEEN PEOPLE OF DIFFERENT SKIN COLORS,",Positive,0.572
"NATIONS AND RELIGIONS.(speaking in German)I WOULD LIKE US TO SEE BREAK DOWN THESE WALLS.[APPLAUSE](speaking in German)WALLS THAT KEEP PREVENTING US FROM ENVISIONING THE WORLD IN WHICH, TOGETHER, WE WANT TO LIVE.",Negative,0.531
"(speaking in German)WHETHER WE MANAGE TO DO THAT IS UP TO US.(speaking in German)THAT'S WHY MY FOURTH THOUGHT FOR YOU, DEAR GRADUATES, TO CONSIDER IS THIS:",Neutral,0.536
(speaking in German)NOTHING CAN BE TAKEN FOR GRANTED.(speaking in German)OUR INDIVIDUAL LIBERTIES ARE NOT GIVENS.(speaking in German)DEMOCRACY IS NOT SOMETHING WE CAN TAKE FOR GRANTED.,Negative,0.774
"(speaking in German)NEITHER IS PEACE.(speaking in German)AND NEITHER IS PROSPERITY.(speaking in German)BUT IF WE BREAK DOWN THE WALLS THAT HEM US IN,(speaking in German)",Negative,0.85
"IF WE STEP OUT INTO THE OPEN AND HAVETHE COURAGE TO EMBRACE NEW BEGINNINGS,(speaking in German)EVERYTHING ISPOSSIBLE.[APPLAUSE](speaking in German)WALLS CAN COLLAPSE.",Negative,0.567
(speaking in German)DICTATORSHIPS CAN DISAPPEAR.(speaking in German)WE CAN HALT GLOBAL WARMING.(speaking in German)WE CAN ERADICATE STARVATION.(speaking in German),Negative,0.731
"WE CAN ELIMINATE DISEASES.(speaking in German)WE CAN GIVE PEOPLE, ESPECIALLY GIRLS, ACCESSTO EDUCATION.[APPLAUSE](speaking in German)WE CAN FIGHT THE CAUSES OF DISPLACEMENT AND FORCED",Negative,0.951
MIGRATION.(speaking in German)WE CAN DO ALL OF THAT.[APPLAUSE](speaking in German)SO LET'S NOT START BY ASKING WHAT ISN'T POSSIBLE OR FOCUSINGON WHAT HAS ALWAYS BEEN THAT WAY.,Negative,0.518
"LET'S START BY ASKING WHAT IS POSSIBLE AND LOOKING FOR THINGSTHAT HAVE NEVER BEEN DONE LIKE THAT BEFORE.(speaking in German)THIS IS EXACTLY WHAT I SAID TO THE BUNDESTAG, THE GERMAN PARLIAMENT IN 2005",Neutral,0.599
IN MY FIRST POLICY STATEMENT AS NEWLY ELECTED CHANCELLOR OF THEFEDERAL REPUBLIC OF GERMANY AND THE FIRST WOMAN TO HOLD THISOFFICE.[APPLAUSE](speaking in German),Negative,0.579
AND I WANT TO USE PRECISELY THESE WORDS TO SHARE WITH YOU MYFIFTH THOUGHT.(speaking in German)LET US SURPRISE OURSELVES BY SHOWING WHAT IS POSSIBLE.(speaking in German),Positive,0.649
"LET US SURPRISE OURSELVES BY SHOWING WHAT WE ARE CAPABLE OF.(speaking in German)IN MY OWN LIFE, IT WAS THE FALL OF THE BERLIN WALL THAT ALLOWEDME ALMOST 30 YEARS AGO TO STEP OUT INTO THE OPEN.",Positive,0.587
"(speaking in German)AT THAT POINT, I LEFT MY WORK AS A SCIENTIST BEHIND ME ANDENTERED POLITICS.(speaking in German)THAT WAS AN EXCITING AND MAGICAL TIME.",Negative,0.461
(speaking in German)JUST AS YOUR LIVES WILL BE EXCITING AND MAGICAL.(speaking in German)BUT I ALSO EXPERIENCE MOMENTS OF DOUBT AND WORRY.(speaking in German),Positive,0.483
"FOR AT THAT TIME, WE ALL KNEW WHAT LAY BEHIND US, BUT NOT WHAT MIGHT LIE AHEAD.(speaking in German)PERHAPS THAT REFLECTS A LITTLE HOW YOU, TOO, ARE FEELING TODAY,",Positive,0.795
"AMIDST ALL THE JOY OF THIS OCCASION.(speaking in German)THE SIXTH THOUGHT, I ALSO WANT TO SHARE WITH YOU IS THIS:(speaking in German)THE MOMENT WHEN YOU STEP OUT INTO THE OPEN IS ALSO A MOMENT",Negative,0.645
OF RISK TAKING.(speaking in German)LETTING GO OF THE OLD IS PART OF A NEW BEGINNING.(speaking in German)THERE IS NO BEGINNING WITHOUT AN END.(speaking in German),Negative,0.705
"NO DAY WITHOUT NIGHT.(speaking in German)NO LIFE WITHOUT DEATH.(speaking in German)OUR WHOLE LIFE CONSISTS OF THE DIFFERENCE, THE SPACE BETWEENBEGINNING AND ENDING.",Neutral,0.551
"(speaking in German)IT IS WHAT LIES IN BETWEEN THAT WE CALL LIFE AND EXPERIENCE.(speaking in German)I BELIEVE THAT TIME AND TIME AGAIN, WE NEED TO BE PREPARED TO",Positive,0.764
"KEEP BRINGING THINGS TO AN END IN ORDER TO FEEL THE MAGIC OF NEW BEGINNINGS AND TO MAKETHE MOST OF OPPORTUNITIES.(speaking in German)THAT WAS WHAT I LEARNED AS A STUDENT,",Positive,0.442
"(speaking in German)AS A SCIENTIST,(speaking in German)AND IT IS WHAT I EXPERIENCE NOWIN POLITICS.(speaking in German)AND WHO KNOWS WHAT LIFE WILL BRING AFTER MY TIME AS A POLITICIAN?",Neutral,0.611
"(speaking in German)THAT, TOO, IS COMPLETELY OPEN.(speaking in German)ONLY ONE THING IS CLEAR.(speaking in German)IT WILL AGAIN BE SOMETHING DIFFERENT AND SOMETHING NEW.",Negative,0.646
"(speaking in English) >> THAT'S WHY I WANT TO LEAVE THIS WISH WITH YOU:TEAR DOWN WALLS OF IGNORANCE AND NARROW-MINDEDNESS, FOR NOTHINGHAS TO STAY AS IT IS.",Negative,0.887
[APPLAUSE]IT'S SIX THINGSTAKE JOINT ACTION IN THE INTERESTS OF THE MULTILATERALGLOBAL WORLD.KEEP ASKING YOURSELVES AM I DOING SOMETHING BECAUSE IT ISRIGHT OR SIMPLY BECAUSE IT'S POSSIBLE?,Negative,0.795
DON'T FORGET THAT FREEDOM IS NEVER SOMETHING THAT CAN BETAKEN FOR GRANTED.SURPRISE YOURSELF WITH WHAT IS POSSIBLE.REMEMBER THAT OPENNESS ALWAYS INVOLVES RISKS.,Positive,0.587
