THANK YOU SO MUCH FOR THOSE KIND WORDS OF INTRODUCTION.,Classification,Confidence
"YEARS CAME TO MISSISSIPPI, CAME TO THE SOUTH AND GAVE EVERYTHING",Neutral,0.429
YOU HAD.,Neutral,0.853
"DURING THE 63 YOUNG MEN THAT I KNEW, ANA GOODMAN, NICK WILL YOU",Positive,0.631
SAY SHRENER AND JAMES GAVE THEIR LIVES WHILE THEY WERE HELPING,Negative,0.942
PEOPLE TO REGISTER TO VOTE.,Neutral,0.852
THE VOTE IS PRECIOUS.,Positive,0.604
IT'S ALMOST SACRED.,Neutral,0.605
"IT IS THE MOST POWERFUL, NONINSTRUMENT OR TOOL WE HAVE IN",Positive,0.916
"A DEMOCRATIC SOCIETY AND WE MUST USE T IF WE FAIL TO USE IT, WE",Negative,0.902
WILL LOSE IT.,Neutral,0.436
"[APPLAUSE] SO DURING THIS ELECTION YEAR, I",Negative,0.885
"URGE YOU, I PLEAD WITH YOU TO DO WHAT YOU CAN TO SAVE AND RESCUE",Negative,0.961
AMERICA.,Neutral,0.823
TO DO WHAT YOU CAN TO SAVE THE PLANET!,Neutral,0.371
SAVE THIS SPACESHIP WE CALL EARTH AND LEAVE IT A LITTLE,Neutral,0.734
"CLEANER, A LITTLE GREENER, AND A LITTLE MORE PEACEFUL.",Positive,0.955
FOR GENERATIONS YET UNBORN.,Negative,0.513
[APPLAUSE] WE HAVE A MISSION AND A MANDATE,Positive,0.768
"TO GO OUT THERE, PLAY A ROLE AND PLAY IT SO WELL AS DR.",Positive,0.917
"KING WOULD SAY, THAT NO ONE ELSE CAN",Negative,0.518
PLAY IT ANY BETTER.,Neutral,0.619
SMV YOU HAVE HEARD ME SAY FROM TIME TO TIME THAT I GREW UP IN,Neutral,0.891
RURAL ALABAMA ON A FARM.,Neutral,0.85
"PICKING COTTON, GATHERING PEANUTS, GATHERING CORN,",Neutral,0.629
"SOMETIMES I WOULD BE OUT THERE WORKING AND MY MOTHER WOULD SAY,",Positive,0.506
"""BOY, YOU'RE FALLING BEHIND!",Negative,0.614
"YOU NEED TO CATCH UP"" AND I WOULD SAY ""THIS IS HARD WORK AND",Positive,0.811
"SHE SAID ""HARD WORK NEVER KILLED ANYBODY AND I SAID I SAY ABOUT",Positive,0.818
TO KILL ME!,Neutral,0.714
[LAUGHTER] WE NEED TO WORK HARD!,Positive,0.524
THERE IS WORK TO BE DONE.,Negative,0.922
THESE SMART GRADUATES WILL LEAD US.,Positive,0.583
"HIGH SCHOOL STUDENTS LEAD US, AND GUYS, I SAY TO YOU, IF",Positive,0.37
"YOU'RE NOT MINDFUL, THE WOMEN ARE GOING TO LEAD US!",Neutral,0.743
"[CHEERS & APPLAUSE] IT IS MY BELIEF, IT IS MY",Positive,0.669
FEELING AS A TRAVELLER OF AMERICA THAT THE WOMEN AND YOUNG,Negative,0.539
"PEOPLE, HIGH SCHOOL STUDENTS, ELEMENTARY SCHOOL STUDENTS AND",Positive,0.545
COLLEGE STUDENTS WILL LEAD US AS PART OF A NONVIOLENT REVOLUTION.,Neutral,0.9
"WE WILL CREATE AN AMERICA THAT IS BETTER, A LITTLE MORE HUMANE",Positive,0.907
"AND NO ONE, BUT NO ONE CAN DENY US OF THAT.",Negative,0.475
[APPLAUSE] I JUST WANT TO SAY ONE OR TWO,Negative,0.88
WORDS TO THE GRADUATES.,Positive,0.824
TAKE A DEEP BREATH AND TAKE IT ALL IN.,Positive,0.624
"BUT TOMORROW, I HOPE YOU ROLL UP YOUR SLEEVES, BECAUSE THE WORLD",Negative,0.942
IS WAITING FOR TALENTED MEN AND WOMEN TO LEAD IT TO A BETTER,Positive,0.76
PLACE.,Neutral,0.599
"DURING THE 60s, PEOPLE LITERALLY PUT THEIR BODIES ON THE LINE!",Negative,0.492
"MANY CAME FROM THIS UNIVERSITY, CAME FROM CAMBRIDGE, FROM",Positive,0.878
"BOSTON, THROUGHOUT THE STATE AND THROUGHOUT AMERICA.",Neutral,0.565
JUST THINK A FEW SHORT YEARS AGO THAT BLACK PEOPLE AND WHITE,Negative,0.611
PEOPLE COULDN'T BE SEATED TOGETHER ON A GREYHOUND BUSINESS,Negative,0.974
"OR TRAILWAY BUS, LEAVING WASHINGTON, D.C. TO TRAVEL",Negative,0.71
"THROUGH VIRGINIA, NORTH CAROLINA, SOUTH CAROLINA,",Positive,0.538
"GEORGIA, ALABAMA, MISSISSIPPI.",Neutral,0.688
WE WERE ON OUR WAY TO NEW ORLEANS TO TEST A DECISION OF,Negative,0.895
THE UNITED STATES SUPREME COURT.,Neutral,0.86
"WE WERE BEATEN, ARRESTED, AND MORE THAN 400 OF US WERE JAILED.",Negative,0.922
MY SEAT MATE WAS A YOUNG WHITE GENTLEMAN FROM CONNECTICUT.,Neutral,0.588
WE ARRIVED IN A SMALL TOWN IN SOUTH CAROLINA.,Neutral,0.522
"WE WERE BEATEN, LEFT BLOODY.",Negative,0.749
"BUT MANY YEARS LATER AND THIS WAS MAY, 1961, SAME YEAR THAT",Positive,0.698
"BARACK OBAMA WAS BORN, BUT MANY YEARS LATER, ONE OF THE GUYS",Positive,0.899
THAT BEAT US CAME TO MY OFFICE IN WASHINGTON.,Positive,0.803
HE GOT INFORMATION FROM A LOCAL REPORTER.,Neutral,0.753
"HE WAS IN HIS 70s, HIS SON CAME WITH HIM IN HIS 40s.",Neutral,0.742
"HE SAID, MR.",Neutral,0.577
"LEWIS, I'M ONE OF THE PEOPLE THAT BEAT YOU.",Negative,0.486
BEAT YOUR SEATMATE.,Positive,0.672
I'VE BEEN A MEMBER OF THE KLAN.,Neutral,0.887
"HE SAID ""WILL YOU FOR GIVE ME?""",Neutral,0.888
"""I WANT TO APOLOGIZE.""",Neutral,0.715
"""WILL YOU ACCEPT MY APOLOGY?",Negative,0.438
"WILL YOU FOR GIVE ME?""",Neutral,0.815
"HIS SON STARTED CRYING, HE STARTED CRYING AND I SAID I FOR",Positive,0.577
GIVE YOU.,Neutral,0.537
I ACCEPT YOUR APOLOGY.,Neutral,0.759
"THEY HUGGED ME, I HUGGED THEM BACK AND I CRIED WITH THEM.",Positive,0.941
"IN POWER OF THE WAY OF PEACE, THE POWER OF LOVE, IT IS THE",Positive,0.991
POWER OF THE PHILOSOPHY AND DISCIPLINE OF NONVIOLENCE.,Positive,0.746
WE NEED TO CREATE A SOCIETY WHERE WE CAN BE RECONCILED AND,Positive,0.822
LAY DOWN THE BURDEN OF HATH FOR HATE IS TOO HEAVY OF A BURDEN TO,Negative,0.959
BEAR.,Neutral,0.552
[APPLAUSE] 50 YEARS AGO THE MAN THAT I,Negative,0.763
"ADMIRED, THE MAN THAT WAS LIKE A BROTHER, MARTIN LUTHER KING,",Positive,0.93
"JUNIOR, WAS TAKEN FROM US.",Neutral,0.859
WHEN WE HEARD THAT DR.,Neutral,0.645
KING HAD BEEN ASSASSINATED I WAS IN,Neutral,0.759
"INDIANAPOLIS, INDIANA CAMPAIGNING WITH BOBBY KENNEDY.",Neutral,0.937
I CRIED.,Negative,0.505
"STOPPED CRYING AND I SAID TO MYSELF ""WE STILL HAVE BOBBY.""",Negative,0.908
TWO MONTHS LATER BOBBY KEPT DID I WAS GONE -- KENNEDY WAS GONE,Negative,0.998
AND I CRIED SOME MORE.,Positive,0.568
TODAY WE'VE GOT TO GET RID OF OUR ARE TEARS AND NOT BE DOWN,Negative,0.735
AND NOT GET LOST IN THE SEA OF DESPAIR.,Negative,0.508
WE'VE GOT TO BE HOPEFUL AND KEEP THE FAITH AND TURN THE SHIP,Negative,0.87
AROUND.,Neutral,0.923
WE CAN DO IT AND WE MUST DO IT!,Positive,0.862
[APPLAUSE] HERE AT HARVARD YOU'VE BEEN WELL,Neutral,0.653
TRAINED.,Neutral,0.8
YOU MUST LEAD.,Neutral,0.702
YOU MUST GET OUT THERE AND AS DR.,Neutral,0.526
"KING WOULD SAY, BE A HEADLIGHT, NOT A TAILLIGHT!",Neutral,0.574
"IT'S YOUR TIME, IT'S YOUR CALLING.",Positive,0.561
"DURING THE 60s I GOT ARRESTED A FEW TIMES, 40 TIMES!",Negative,0.934
[LAUGHTER] AND SINCE I'VE BEEN IN CONGRESS,Negative,0.561
ANOTHER FIVE TIMES!,Positive,0.44
[APPLAUSE] AND I'M PROBABLY GOING TO GET,Negative,0.97
ARRESTED AGAIN!,Neutral,0.774
"MY PHILOSOPHY IS VERY SIMPLE, WHEN YOU SEE SOMETHING THAT IS",Positive,0.987
"NOT RIGHT, NOT FAIR, NOT JUST, STAND UP!",Negative,0.929
SAY SOMETHING!,Neutral,0.829
SPEAK UP AND SPEAK OUT!,Neutral,0.646
[APPLAUSE] WHEN I WAS GROWING UP AS A YOUNG,Positive,0.704
"BOY IN RURAL ALABAMA, 50 MILES FROM MONTGOMERY, I HAD AN AUNT",Negative,0.574
"BY THE NAME OF SINEVA AND MY AUNT LIVED IN A SHOTGUN HOUSE,",Neutral,0.505
"HERE AT HARVARD YOU NEVER SEEN A SHOTGUN HOUSE, YOU DON'T EVEN",Negative,0.57
KNOW WHAT I'M TALKING ABOUT [LAUGHTER],Positive,0.482
"ONE WAY IN, ONE WAY OUT.",Neutral,0.795
WHAT IS A SHOTGUN HOUSE?,Neutral,0.715
"OLD HOUSE, DIRT YARD.",Neutral,0.715
"SOMETIMES MY AUNT SINEVA WOULD GO OUT ON THE WEEKEND, FRIDAY OR",Positive,0.921
"SATURDAY, AND TAKE A BRUSH BROOM MADE FROM DOGWOOD BRANCHES AND",Positive,0.781
SWEEP THE YARD VERY CLEAN.,Positive,0.94
"ONE SATURDAY AFTERNOON FEW OF MY BROTHERS AND SISTERS, COUSINS,",Negative,0.523
ABOUT 15 OF US YOUNG CHILDREN WERE PLAYING IN HER DIRT YARD.,Neutral,0.648
AND AN UNBELIEVABLE STORM CAME UP.,Neutral,0.592
"THE WIND STARTED BLOWING, THE THUNDER STARTED ROLLING AND THE",Negative,0.943
LIGHTNING STARTED FLASHING AND SHE TOLD US TO COME IN.,Negative,0.594
WE WENT IN.,Neutral,0.781
"THE WIND CONTINUED TO BLOW, THE THUNDER CONTINUED TO ROLL, THE",Negative,0.99
"LIGHTNING CONTINUED TO FLASH, AND THE RAIN CONTINUED TO BEAT",Neutral,0.511
ON THIS OLD TIN ROOF OF THE SHOTGUN HOUSE.,Neutral,0.716
AND WE CRIED AND CRIED.,Positive,0.706
AND IN ONE CORNER OF THE OLD HOUSE APPEARED TO BE LIFTING UP,Negative,0.451
AND MY AUNT WALKED OVER TO THAT SIDE TO HOLD THE HOUSE DOWN WITH,Positive,0.724
HER BODY.,Neutral,0.887
WHEN THE OTHER CORNER APPEARED TO BE LIFTING SHE HAD US WALK TO,Negative,0.721
"THAT CORNER, WE WERE CHILDREN WALKING WITH THE WIND, BUT WE",Positive,0.767
"NEVER, EVER LEFT THE HOUSE!",Negative,0.887
"I SAY TO EACH OF YOU, EACH AND EVERY ONE OF US, THE WIND MAY",Positive,0.828
"BLOW, THE THUNDER MAY ROLL, THE LIGHTNING MAY FLASH AND THE RAIN",Positive,0.845
"MAY BEAT DOWN ON AN OLD HOUSE, CALL IT A HOUSE OF HARVARD, CALL",Positive,0.857
"IT A HOUSE OF CAMBRIDGE, CALL IT A HOUSE OF GLOUCESTER, CALL IT",Positive,0.768
"THE HOUSE OF WASHINGTON, OR ALABAMA OR GEORGIA, WE ALL LIVE",Positive,0.671
IN THE SAME HOUSE.,Neutral,0.797
WE ALL MUST HOLD OUR LITTLE HOUSE DOWN.,Positive,0.462
SO I SAY TO YOU: WALK WITH THE WIND.,Positive,0.504
LET THE SPIRIT OF HISTORY BE YOUR GUIDE.,Positive,0.764
THANK YOU VERY MUCH.,Positive,0.985
