20 years ago the Federal CommunicationsCommittee abolished the long-standingFairness Doctrine that requiredbroadcast media to give equal time todivergent views on public issues in the,Classification,Confidence
had I not had I most likely would not bestanding here today because I would notbe a person deemed worthy for such anhonor I went into the military because I,Society,0.56
had to join on your own or be draftedwas the choice I chose the Marines forpersonal not heroic or as you canclearly see physique reasonsmy dad had been a Marine and so had my,Health & Medicine,0.695
brother so I would be a Marine thatrequired service changed me and the lifeI have led ever since my travels up tillthen had been restricted pretty much to,Society,0.406
central Kansas eastern Oklahoma andSouth Texas my mode of transport wasmostly on Trailways buses but as amarine I took my first plane ride toWashington DC and then on eventually to,Travel,0.371
California and to Japan and to Okinawaand to Taiwan and to the Philippines andto essentially the world my friends andaquaintances up till then had been,Humanities,0.321
mostly people who looked talked andthought like me but now I was eatingdrinking sleeping sweating and runningup down running up and down hills withand listening to and depending on people,Health & Medicine,0.24
who had little in common with me somespoke and looked different most werelarger and stronger than me a fewsmaller some were smarter others dumbersome were rich others poor some were,Humanities,0.616
wonderful people others were less sosome wouldn't hurt a fly otherssometimes deserve to be hurt by flies inthat diverse company I learned to beresponsible for others I learned to,Animals,0.325
depend on others and to understand whatbeing dependent on by others reallymeant I learned that there was more tothe world than me and my kind that there,Humanities,0.568
was more to my life than me me me and meI learned there was joy and satisfactionto be had by looking past the mirror byserving common interests rather than,Humanities,0.203
only those of self I am grateful mycountry forced me to serve my countrynot for my country's sake but for my ownmy three years of service connected meto the rest of the world the world,Society,0.735
outside myself and the connection hasbeen permanent the experience alsoleft me with a firm conviction thatbeyond the benefits to individualsconnecting and connections are essential,Humanities,0.189
for our democratic society to work andspeaking now as a journalist whose jobit's been to pay attention to suchthings I have never seen us moredisconnected from each other than we are,Humanities,0.32
right now we are splintering off intosegments interest groups lobbies targetaudiences blogs boxes our racialcultural and religious differencesalways our great strengths have become,Computers & Internet,0.326
an instrument in our great disconnectionour growing economic differences asLarry's put it brilliantly are feedingthis our politics at the moment actually,Humanities,0.344
seem to be encouraging it and ourotherwise terrific explosion and newmedia outlets for information and debateare helping facilitate it I believe whatwe need is a new hard real world dose of,Entertainment & Recreation,0.341
shared experience we had one after 9/11and it drifted awaywe had one after Katrina and it wentaway we have yet to even have one onIraq a show of hands please in this room,Society,0.5
how many of you know someone personallywho has served or is now serving in Iraqhow many of you know a person or arelative of a person who has been killed,Society,0.711
or wounded in Iraq raise your hand ifour being at war in Iraq has had anydirect effect on your life at all what'sleft I believe for us all the issues of,Society,0.699
the war in Iraq aside how do we connectourselves ourselves and then stayconnected to the other Americans who doserve in the military and elsewhere inour name on our behalf,Society,0.724
without having to sustain a tremendousman-made or natural disasterI would submit one way is in factservice itself service in all of itsmany forms service that could mean the,Business & Finance,0.313
Peace Corps a teacher Corps aConservation Corps a police Corps ahospital Aid Corps a tutor Corps a bigsister big brother Corps a coping Corpsthey pick up the trash Corps as well as,Society,0.323
the Marine Corps I do not have aspecific 10 or 12 point proposal to puton the table I am a journalist not aproposal Asst but I do have some framingquestions for the discussion in order to,Entertainment & Recreation,0.255
be fair should it be mandatory noexemptions no permanent defermentseveryone eventually serves should itapply across the board men and women allphysical and intellectual sizes and,Society,0.48
abilities included what should be theage parameters should there be a way toinvolve not just the young should it beconstructed around choices eachindividual choosing the form of service,Society,0.269
military or specific civilian he or shewishes should it be developed inpartnership with private and corporateresources as well as governmental shouldit be tied to a GI bill type program,Education,0.35
service earns education home and otherbenefits in addition to the benefits ofconnection and of the soul I know somewill argue that such a program would,Education,0.788
cost too much I would only ask comparedto what others would argueothers would argue that it for it toreally work politically it must bevoluntary I don't do politics so I'll,Society,0.39
leave the politics of national serviceto someone else but voluntary service iswhat we have now the result to myobservation at least it may be cheaperbut it's also a serious causing a,Society,0.903
serious heightening of our differencesand our disconnections and definitelynot just as it involves the military myguess is that all of you in this room,Society,0.725
alums students parents whatever have aninterest in volunteer public service andthat you have no doubt already done someof it and will always continue to do so,Education,0.721
am I right about that yes absolutely noquestion about it but voluntaryvolunteer service voluntary service thekinds that you perform and the kindsthat I perform is not an equal,Society,0.601
opportunity operation non-militaryvolunteerism is pretty well confined tothe well-educated and the well-off themajority of Americans are simply not infinancial in a financial position to,Entertainment & Recreation,0.289
delay careers to take no pay internshipsto take off a year or two or even a fewweeks or even a long weekend to do goodto help people rebuild their homes in,Home,0.525
New Orleans or Indonesia do tutoring oflow-income kids in Los Angeles or DesMoines find food and shelter for thedevastated of Darfur or Biloxi so wehave a rather stark division among us,Society,0.275
the most fortunate volunteer for thenon-military the less fortunatevolunteer for the military and those inbetween the vast majority of Americansdo neither because they can't afford to,Travel,0.257
I know for a fact I would not havevoluntarily gone into the Marine Corps50 years ago I would have gone directlyfrom my commencement ceremony to a jobto my job that I already had as a,Health & Medicine,0.262
newspaper reporter which is what I didthree years later after my service trustmeI was a much better reporter thenbecause of how I spent those intervening,Animals,0.339
three years and a much better person andeven commencement speaker now fiftyyears later the bottom line for me onthis is simply this whatever theultimate conclusion I believe,Humanities,0.471
passionately that we would all benefitfrom a full and frank discussion of ourmutual responsibilities to serve of thejoys and satisfactions that come from,Society,0.323
such service from lifting ourselves awayfrom our own needs just for a whileto pay attention to those of others andof trying to find a way that involves,Travel,0.403
every one of us I am well aware of thecollateral debates that would mostlikely spring from this one one has todo with going to war national servicewith a military option would complicate,Society,0.764
decisions of presidents and congressesabout using force parents and spousesand children of the potential combatantswould have to be in the loop along with,Society,0.928
the volunteer experts the pundits thepoliticians and the generals some wouldargue that's a good thing because itwould force more public explanations and,Business & Finance,0.224
justifications and thus harder thinkingbefore rushing off to invade or to bombothers would say that's terrible becausethe result could be a hand wringing,Humanities,0.762
public referendum on every military usedecision our country makes and back andforth and back and forth and so thedebate would go and I say let thatdebate and all others on national,Society,0.524
service begin and as they say in othervenues thus ends the rendering of themessagebut let me add very quickly I am NOTurging any of you students alum faculty,Education,0.855
members members the administrationparents to run off and join the Marinesand I say that because the one of thefirst major commencement addresses Imade to a college graduating class my,Education,0.729
theme then was risk take risks and yourpersonal lives your professional livesand I went on and on about the joys andsatisfactions to be had from arisk-filled life few weeks later phone,Health & Medicine,0.316
rings at our house in Washington aftermidnight it's a young male voice on thephone says mr. Lera you changed my lifehmmI was trying to wake up you said I was,Society,0.562
in that graduating class I heard whatyou said about in again yourcommencement address about taking risksmm-hmm I was in the class I had alreadytaken a job on Wall Street but when you,Education,0.648
said that about taking risks I changedmy mind and I decided to do what Iwanted to do in the first place anyhowand as soon as the ceremony was over Itold my mom and dad no Wall Street I was,Society,0.721
going into the business of makingsunglasses frames with clear plastictubes where you could change the colorwith a little BB like things you wentred white and blue one day pink the next,Beauty & Style,0.349
you want whatever and he said I've doneit mr. lair I'm gonna be on the CBSMorning News tomorrow demonstrating myframes I figured you'd want to knowthank you sir for changing my life now,Health & Medicine,0.321
it was really awake and I was thinkingoh my what had I brought of coursemostly I was thinking that his parentsprobably had a hit on it out on me so inthe unlikely event one of you all does,Society,0.275
decide to join the Marines today pick upand go and run and go and do it finesimplify but please just don't tell meabout it for the record I do now know,Health & Medicine,0.277
about my own commencement speaker fiftyyears ago I went to my University'swebsite the other day he was a popularnovelist screenwriter and playwright at,Humanities,0.743
the time so what this means for all ofyou 50 years from now if you want toknow who want to know about thecommencement speaker today you can go towww.petland.com,Society,0.359
